Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,85,16,P:System.Windows.Forms.Control.Height,,,,,float lineHeight = this.Height * GetSample(x - this.Width + insertPos);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,83,12,P:System.Windows.Forms.Control.Width,,,,,"for (int x = 0; x < this.Width; x++)              {                  float lineHeight = this.Height * GetSample(x - this.Width + insertPos);                  float y1 = (this.Height - lineHeight) / 2;                  pe.Graphics.DrawLine(foregroundPen, x, y1, x, y1 + lineHeight);              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,81,12,M:System.Windows.Forms.Control.OnPaint(System.Windows.Forms.PaintEventArgs),,,,,base.OnPaint(pe);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,73,12,M:System.Windows.Forms.Control.Invalidate,,,,,this.Invalidate();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,48,12,M:System.Windows.Forms.Control.OnForeColorChanged(System.EventArgs),,,,,base.OnForeColorChanged(e);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,47,12,P:System.Windows.Forms.Control.ForeColor,,,,,foregroundPen = new Pen(ForeColor);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,47,12,T:System.Drawing.Pen,,,,,foregroundPen = new Pen(ForeColor);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,47,12,M:System.Drawing.Pen.#ctor(System.Drawing.Color),,,,,foregroundPen = new Pen(ForeColor);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,47,12,T:System.Drawing.Pen,,,,,foregroundPen = new Pen(ForeColor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,38,12,M:System.Windows.Forms.Control.OnResize(System.EventArgs),,,,,base.OnResize(e);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,37,12,P:System.Windows.Forms.Control.Width,,,,,maxSamples = this.Width;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
